Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHNZHK05HAJWGEYZ4QS
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHNEQ9JH1QJ5RXT470D
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHN6TZGRV3ZS5F2XXX5
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHNQ320E42334X2V48F
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHNYC04GAJWF3CD8MCQ
prod_01KMCHCCFQT0YVK1JA3HFRPNNA,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHP5JV3DZD3QHNMD4VG
prod_01KMCHCCFQXSMCQQH99G4FXT46,shorts,Medusa Shorts,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHQ29CPGXGB2CSQP0G6
prod_01KMCHCCFQXSMCQQH99G4FXT46,shorts,Medusa Shorts,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHQG67H3DGN8RQCTK4F
prod_01KMCHCCFQXSMCQQH99G4FXT46,shorts,Medusa Shorts,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHQ0W1A6G5MSE1Q53JQ
prod_01KMCHCCFQXSMCQQH99G4FXT46,shorts,Medusa Shorts,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,sc_01KMCHC7HQ00HA56MY38S45MA9,variant_01KMCHCCHRP7SNPT5X58B313D7
